column_value,precision,recall,fbeta
native-country_Vietnam,1.0,0.0,0.0
native-country_Scotland,1.0,1.0,1.0
native-country_Haiti,0.5,1.0,0.6666666666666666
native-country_Honduras,1.0,1.0,1.0
native-country_Thailand,1.0,0.0,0.0
native-country_China,0.7777777777777778,1.0,0.8750000000000001
native-country_Poland,1.0,1.0,1.0
native-country_Greece,0.3333333333333333,1.0,0.5
native-country_Peru,1.0,1.0,1.0
native-country_South,0.3333333333333333,0.3333333333333333,0.3333333333333333
native-country_Taiwan,0.6666666666666666,1.0,0.8
native-country_Trinadad&Tobago,1.0,1.0,1.0
native-country_Hungary,1.0,0.5,0.6666666666666666
native-country_Dominican-Republic,1.0,1.0,1.0
native-country_Ecuador,1.0,0.0,0.0
native-country_Hong,1.0,1.0,1.0
native-country_Guatemala,1.0,1.0,1.0
native-country_Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country_France,1.0,1.0,1.0
